date,close,volume
2024-06-01,34000,950
2024-06-02,34200,960
2024-06-03,34400,970
2024-06-04,34600,980
2024-06-05,34800,990
2024-06-06,35000,1000
2024-06-07,35200,1010
2024-06-08,35400,1020
2024-06-09,35600,1030
2024-06-10,35800,1040
2024-06-11,36000,1050
2024-06-12,36200,1060
2024-06-13,36400,1070
2024-06-14,36600,1080
2024-06-15,36800,1090
2024-06-16,37000,1100
2024-06-17,37200,1110
2024-06-18,37400,1120
2024-06-19,37600,1130
2024-06-20,37800,1140
2024-06-21,38000,1150
2024-06-22,38200,1160
2024-06-23,38400,1170
2024-06-24,38600,1180
2024-06-25,38800,1190
2024-06-26,34000,950
2024-06-27,34500,980
2024-06-28,34800,1000
2024-06-29,35000,1050
2024-06-30,34500,970
2024-07-01,35000,1000
2024-07-02,35500,1100
2024-07-03,35300,1050
2024-07-04,35800,1200
2024-07-05,36000,1250
2024-07-06,36200,1300
2024-07-07,36500,1350
2024-07-08,36800,1400
2024-07-09,37000,1450
2024-07-10,37200,1500
2024-07-11,37400,1550
2024-07-12,37600,1600
2024-07-13,37800,1650
2024-07-14,38000,1700
2024-07-15,38200,1750
2024-07-16,38400,1800
2024-07-17,38600,1850
2024-07-18,38800,1900
2024-07-19,39000,1950
2024-07-20,39200,2000
2024-07-21,39400,2050
2024-07-22,39600,2100
2024-07-23,39800,2150
2024-07-24,40000,2200
2024-07-25,40200,2250
2024-07-26,40400,2300
2024-07-27,40600,2350
2024-07-28,40800,2400
2024-07-29,41000,2450
2024-07-30,41200,2500
2024-07-31,41400,2550
2024-08-01,41600,2600
2024-08-02,41800,2650
2024-08-03,42000,2700
2024-08-04,42200,2750
2024-08-05,42400,2800
2024-08-06,42600,2850
2024-08-07,42800,2900
2024-08-08,43000,2950
2024-08-09,43200,3000
2024-08-10,43400,3050
2024-08-11,43600,3100
2024-08-12,43800,3150
2024-08-13,44000,3200
2024-08-14,44200,3250
2024-08-15,44400,3300
2024-08-16,44600,3350
2024-08-17,44800,3400
2024-08-18,45000,3450
2024-08-19,45200,3500
2024-08-20,45400,3550
